Do,Ph,ORP,EC,TDS,Water_Temp,CDO,CpH,CORP,CEC,CTDS,CWT,wqc
21.802,0,166.9306,166.9306,205.2786,25.2063,Abnormal,Abnormal,Low,Normal,Normal,Normal,Polluted
21.802,7.7156,193.9101,193.9101,207.2336,25.304,Abnormal,Normal,Low,Normal,Normal,Normal,Polluted
21.802,7.7156,220.8244,220.8244,207.2336,25.4018,Abnormal,Normal,Low,Normal,Normal,Normal,Polluted
15.041,0,166.8899,166.8899,205.2786,25.5973,Abnormal,Abnormal,Low,Normal,Normal,Normal,Polluted
11.481,0,166.9713,166.9713,205.2786,25.4018,High,Abnormal,Low,Normal,Normal,Normal,Polluted
11.481,7.7156,193.8693,193.8693,203.3236,25.7928,High,Normal,Low,Normal,Normal,Normal,Polluted
6.912,6.7801,220.7674,220.7674,205.2786,25.8905,Normal,Normal,Low,Normal,Normal,Normal,Polluted
6.336,6.8902,247.6328,247.6328,205.2786,25.4995,Low,Normal,Low,Normal,Normal,Normal,Polluted
5.711,0,166.8899,956.9893,205.2786,25.4995,Low,Abnormal,Low,High,Normal,Normal,Polluted
5.623,7.0553,193.7553,1479.57,207.2336,25.5973,Low,Normal,Low,High,Normal,Normal,Polluted
5.526,7.0828,220.5963,1440.86,205.2786,25.4018,Low,Normal,Low,High,Normal,Normal,Polluted
5.574,7.0828,247.5187,436.5591,207.2336,25.2063,Low,Normal,Low,Normal,Normal,Normal,Polluted
5.477,7.1103,274.4005,1337.634,205.2786,25.2063,Low,Normal,Low,High,Normal,Normal,Polluted
5.526,7.0828,301.2252,445.1613,207.2336,25.695,Low,Normal,Normal,Normal,Normal,Normal,Unpolluted
5.428,7.1103,328.115,1326.882,203.3236,25.304,Low,Normal,Normal,High,Normal,Normal,Unpolluted
5.33,7.1103,354.9479,1337.634,207.2336,25.695,Low,Normal,Normal,High,Normal,Normal,Unpolluted
5.33,7.1103,381.74,496.7742,207.2336,25.4995,Low,Normal,Normal,Normal,Normal,Normal,Unpolluted
5.281,7.0828,125.1678,268.8172,197.4585,25.7928,Low,Normal,Low,Normal,Normal,Normal,Polluted
5.526,7.0828,98.2454,296.7742,207.2336,25.695,Low,Normal,Low,Normal,Normal,Normal,Polluted
4.718,7.0553,71.3473,1552.688,213.0987,26.1838,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.948,7.0828,44.3923,1593.548,207.2336,26.086,Low,Normal,Low,Abnormal,Normal,High,Polluted
5.574,7.1103,17.478,296.7742,207.2336,25.9883,Low,Normal,Abnormal,Normal,Normal,Normal,Polluted
5.574,7.1928,9.3874,1559.14,207.2336,25.695,Low,Normal,Abnormal,Abnormal,Normal,Normal,Polluted
4.902,7.2754,36.1307,268.8172,189.6383,26.5748,Low,Normal,Low,Normal,Normal,High,Polluted
5.262,7.0828,63.1346,1584.946,203.3236,26.5748,Low,Normal,Low,Abnormal,Normal,High,Polluted
5.17,7.0553,90.114,292.4731,207.2336,26.2815,Low,Normal,Low,Normal,Normal,High,Polluted
4.81,7.0553,117.1098,1559.14,203.3236,26.477,Low,Normal,Low,Abnormal,Normal,High,Polluted
5.262,7.0278,143.9752,286.0215,218.9638,26.086,Low,Normal,Low,Normal,Normal,High,Polluted
4.902,7.0278,170.8081,262.3656,207.2336,26.477,Low,Normal,Low,Normal,Normal,High,Polluted
4.902,7.2754,197.6979,279.5699,197.4585,26.1838,Low,Normal,Low,Normal,Normal,High,Polluted
4.985,7.0553,224.5797,1554.839,218.9638,26.477,Low,Normal,Low,Abnormal,Normal,High,Polluted
5.17,7.0002,251.4614,1567.742,203.3236,26.1838,Low,Normal,Low,Abnormal,Normal,High,Polluted
5.17,7.0828,278.4001,279.5699,207.2336,26.2815,Low,Normal,Low,Normal,Normal,High,Polluted
5.262,7.0553,305.3796,1563.441,193.5484,26.1838,Low,Normal,Normal,Abnormal,Normal,High,Polluted
5.262,7.0553,332.3346,266.6667,207.2336,26.3793,Low,Normal,Normal,Normal,Normal,High,Unpolluted
5.216,7.2203,359.2652,1544.086,213.0987,26.2815,Low,Normal,Normal,Abnormal,Normal,High,Polluted
5.262,7.3029,386.1877,1548.387,197.4585,26.7703,Low,Normal,Normal,Abnormal,Normal,High,Polluted
5.031,7.0553,120.7771,1550.538,203.3236,26.6725,Low,Normal,Low,Abnormal,Normal,High,Polluted
5.124,7.2754,93.9524,255.914,207.2336,26.2815,Low,Normal,Low,Normal,Normal,High,Polluted
5.077,7.1103,67.0707,1438.71,207.2336,26.5748,Low,Normal,Low,High,Normal,High,Polluted
4.541,7.1653,40.1646,1600,207.2336,27.0635,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.718,7.3029,13.2828,1569.892,193.5484,26.5748,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.948,7.0828,13.5745,1451.613,207.2336,26.477,Low,Normal,Abnormal,High,Normal,High,Polluted
5.216,7.0828,40.4399,262.3656,203.3236,26.2815,Low,Normal,Low,Normal,Normal,High,Polluted
4.81,7.1103,67.346,243.0108,211.1437,26.477,Low,Normal,Low,Normal,Normal,High,Polluted
4.718,7.1378,94.3255,733.3333,213.0987,26.9658,Low,Normal,Low,High,Normal,High,Polluted
5.031,7.1928,121.1095,752.6882,203.3236,26.1838,Low,Normal,Low,High,Normal,High,Polluted
4.764,7.3304,147.926,1434.409,203.3236,26.7703,Low,Normal,Low,High,Normal,High,Polluted
4.902,7.1653,174.8648,262.3656,193.5484,26.477,Low,Normal,Low,Normal,Normal,High,Polluted
4.764,7.3304,201.7628,279.5699,189.6383,26.5748,Low,Normal,Low,Normal,Normal,High,Polluted
4.41,7.0828,228.6201,711.8279,203.3236,27.0635,Low,Normal,Low,High,Normal,High,Polluted
4.856,7.1103,255.5751,1554.839,207.2336,26.6725,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.672,7.0828,282.5057,1563.441,197.4585,26.5748,Low,Normal,Low,Abnormal,Normal,High,Polluted
4.158,7.1378,309.4445,1591.398,213.0987,27.1613,Low,Normal,Normal,Abnormal,Normal,High,Polluted
4.497,7.3854,336.3017,1180.645,213.0987,27.0635,Low,Normal,Normal,High,Normal,High,Unpolluted
4.543,7.1378,363.1427,903.2258,218.9638,26.9658,Low,Normal,Normal,High,Normal,High,Unpolluted
4.114,7.1103,390.0407,286.0215,211.1437,27.0635,Low,Normal,Normal,Normal,Normal,High,Unpolluted
4.764,7.1103,116.9078,1369.892,203.3236,26.6725,Low,Normal,Low,High,Normal,High,Polluted
4.114,7.3304,90.0424,286.0215,211.1437,27.3568,Low,Normal,Low,Normal,Normal,High,Polluted
4.158,7.1378,63.1525,999.9999,201.3685,27.0635,Low,Normal,Low,High,Normal,High,Polluted
4.626,7.3304,36.3033,262.3656,193.5484,26.7703,Low,Normal,Low,Normal,Normal,High,Polluted
4.071,7.3304,9.3809,1580.645,213.0987,27.3568,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.764,7.1378,17.5253,1600,209.1887,26.9658,Low,Normal,Abnormal,Abnormal,Normal,High,Polluted
4.764,7.1378,44.3988,255.914,211.1437,26.868,Low,Normal,Low,Normal,Normal,High,Polluted
