Do,Ph,ORP,EC,TDS,Water_Temp,CDO,CpH,CORP,CEC,CTDS,CWT,wqc
21.802,0,166.931,166.931,205.279,25.206,1,1,2,3,3,3,Polluted
21.802,7.716,193.91,193.91,207.234,25.304,1,3,2,3,3,3,Polluted
21.802,7.716,220.824,220.824,207.234,25.402,1,3,2,3,3,3,Polluted
15.041,0,166.89,166.89,205.279,25.597,1,1,2,3,3,3,Polluted
11.481,0,166.971,166.971,205.279,25.402,4,1,2,3,3,3,Polluted
11.481,7.716,193.869,193.869,203.324,25.793,4,3,2,3,3,3,Polluted
6.912,6.78,220.767,220.767,205.279,25.891,3,3,2,3,3,3,Polluted
6.336,6.89,247.633,247.633,205.279,25.5,2,3,2,3,3,3,Polluted
5.711,0,166.89,956.989,205.279,25.5,2,1,2,4,3,3,Polluted
5.623,7.055,193.755,1479.57,207.234,25.597,2,3,2,4,3,3,Polluted
5.526,7.083,220.596,1440.86,205.279,25.402,2,3,2,4,3,3,Polluted
5.574,7.083,247.519,436.559,207.234,25.206,2,3,2,3,3,3,Polluted
5.477,7.11,274.401,1337.634,205.279,25.206,2,3,2,4,3,3,Polluted
5.526,7.083,301.225,445.161,207.234,25.695,2,3,3,3,3,3,Unpolluted
5.428,7.11,328.115,1326.882,203.324,25.304,2,3,3,4,3,3,Unpolluted
5.33,7.11,354.948,1337.634,207.234,25.695,2,3,3,4,3,3,Unpolluted
5.33,7.11,381.74,496.774,207.234,25.5,2,3,3,3,3,3,Unpolluted
5.281,7.083,125.168,268.817,197.459,25.793,2,3,2,3,3,3,Polluted
5.526,7.083,98.245,296.774,207.234,25.695,2,3,2,3,3,3,Polluted
4.718,7.055,71.347,1552.688,213.099,26.184,2,3,2,1,3,4,Polluted
4.948,7.083,44.392,1593.548,207.234,26.086,2,3,2,1,3,4,Polluted
5.574,7.11,17.478,296.774,207.234,25.988,2,3,1,3,3,3,Polluted
5.574,7.193,9.387,1559.14,207.234,25.695,2,3,1,1,3,3,Polluted
